Label,PrawnID,Pond_Type,mean_length,std_length,Length_fov(mm),mean_pixels,pred_Distance_pixels,Length_ground_truth_annotation_pixels,mean_scale,pred_scale,std_scale,Scale_1,Scale_2,Scale_3,std_pixels
carapace:undistorted_GX010077_14_237.jpg_gamma,Prawn_1,circle_female,35.995,1.4717938034928664,29.62568405506833,191.65950189999998,159.6935216115615,186.6815470259445,53.345333333333336,53.90374153546045,3.6603322708919905,52.402,50.249,57.385,5.2614148600113655
carapace:undistorted_GX010077_14_237.jpg_gamma,Prawn_2,circle_female,34.312999999999995,2.4542948070678063,30.34678310836284,182.52958623333333,164.18603011131,185.6071119327059,53.345333333333336,54.10327332720294,3.6603322708919905,52.402,50.249,57.385,6.941873398858892
carapace:undistorted_GX010080_157_2283.jpg_gamma,Prawn_0,circle_female,26.501333333333335,2.2855223327137577,31.05673210134871,174.2415821333333,166.2509653239468,186.0107523773827,65.78866666666666,53.53137760322405,2.0780631206326046,65.123,64.125,68.118,14.019032391192548
carapace:undistorted_GX010080_157_2283.jpg_gamma,Prawn_2,circle_female,43.626,4.315770614849681,26.60464517289791,286.4165271333333,144.0262551020298,324.4996147917595,65.78866666666666,54.13575492777066,2.0780631206326046,65.123,64.125,68.118,19.90831284003684
carapace:undistorted_GX010080_157_2283.jpg_gamma,Prawn_3,circle_female,35.125,1.5137374276934557,32.67234763985115,230.8843975666667,175.3291733809031,187.6832437912346,65.78866666666666,53.66286356694198,2.0780631206326046,65.123,64.125,68.118,4.022829693856285
carapace:undistorted_GX010080_157_2283.jpg_gamma,Prawn_4,circle_female,34.03366666666667,4.89448713690549,33.15279735045093,223.2446745,178.8211654291795,149.1643389017634,65.78866666666666,53.9384847495372,2.0780631206326046,65.123,64.125,68.118,25.96922632657261
carapace:undistorted_GX010080_193_2640.jpg_gamma,Prawn_0,circle_female,34.535333333333334,5.474742490138995,31.06134130939608,197.88272086666666,166.3701535653471,134.5362404707371,57.81966666666667,53.56180594655132,5.226166121865373,61.0,51.788,60.671,15.221209381046686
carapace:undistorted_GX010080_193_2640.jpg_gamma,Prawn_1,circle_female,41.434333333333335,2.8213437105984354,33.5276411102416,238.71721046666667,181.1803073583577,203.0394050424696,57.81966666666667,54.03908576885029,5.226166121865373,61.0,51.788,60.671,11.82060908448181
carapace:undistorted_GX010080_193_2640.jpg_gamma,Prawn_4,circle_female,35.702333333333335,7.1587430693756104,28.59882812365425,205.03871850000004,153.9701752500096,143.1782106327635,57.81966666666667,53.83793160484782,5.226166121865373,61.0,51.788,60.671,36.15785002761972
carapace:undistorted_GX010080_212_2954.jpg_gamma,Prawn_0,circle_female,28.686000000000003,1.7740270572908412,32.34278086162577,168.91593826666667,172.9701448890728,172.4093964956667,59.004,53.480294607041444,3.503428606379756,63.008,56.502,57.502,5.695807464225017
carapace:undistorted_GX010080_212_2954.jpg_gamma,Prawn_1,circle_female,31.810999999999996,2.0554045830444196,31.9328249666236,187.70443213333337,170.2213475482218,215.0581316760656,59.004,53.306072270817964,3.503428606379756,63.008,56.502,57.502,16.43858779586522
