Label,PrawnID,Pond_Type,mean_length,std_length,Length_fov(mm),mean_pixels,pred_Distance_pixels,Length_ground_truth_annotation_pixels,mean_scale,pred_scale,std_scale,Scale_1,Scale_2,Scale_3,std_pixels
full body:undistorted_GX010071_22_444.jpg_gamma,Prawn_0,circle_female,131.18266666666668,11.691852904195015,144.4489907657441,707.8638024666667,776.7175603680705,746.9160205113892,53.98666666666666,53.7710617603199,0.6367176244877579,54.406,54.3,53.254,57.7358260314345
full body:undistorted_GX010071_22_444.jpg_gamma,Prawn_1,circle_female,126.04,11.627210542516206,123.1204379059823,680.0568603333332,666.5355681959816,700.0178569150933,53.98666666666666,54.13687439163951,0.6367176244877579,54.406,54.3,53.254,56.659204197479845
full body:undistorted_GX010073_42_695.jpg_gamma,Prawn_1,circle_female,84.04366666666665,7.342114976853287,90.99216527334579,460.7206339,488.9581867291323,481.7302765635766,55.07399999999999,53.736295345898554,4.387113059860664,50.01,57.489,57.723,3.3888815507502525
full body:undistorted_GX010073_42_695.jpg_gamma,Prawn_2,circle_female,144.47966666666665,16.004400061649708,141.8652283276093,791.0583178,760.6374565818941,793.5732433378602,55.07399999999999,53.61690567510698,4.387113059860664,50.01,57.489,57.723,22.645206562734447
full body:undistorted_GX010073_55_1014.jpg_gamma,Prawn_0,circle_female,113.72700000000002,3.2881026443832346,120.9802044842614,629.4350084000001,655.0486809560687,638.0169,55.38399999999999,54.145112727205344,1.9698111584616447,53.254,55.758,57.14,4.7084118100695145
full body:undistorted_GX010073_55_1014.jpg_gamma,Prawn_1,circle_female,108.85633333333334,3.6158043826143778,115.814424183012,602.4187134666666,614.6577635093324,610.2663394354464,55.38399999999999,53.07264339872202,1.9698111584616447,53.254,55.758,57.14,2.7984901887211593
full body:undistorted_GX010073_55_1014.jpg_gamma,Prawn_2,circle_female,94.282,1.377676667436884,109.380793272358,522.0403427333332,591.0396388226291,557.3779041099585,55.38399999999999,54.03504775751089,1.9698111584616447,53.254,55.758,57.14,14.183860058183841
full body:undistorted_GX010080_157_2283.jpg_gamma,Prawn_0,circle_female,106.32633333333332,2.437013199252993,142.3471786776564,724.3846442,765.0252001723981,696.507572109916,68.144,53.74361524261673,1.057567491936096,68.184,69.181,67.067,6.381019410321103
full body:undistorted_GX010080_157_2283.jpg_gamma,Prawn_2,circle_female,99.51133333333333,3.436101036543209,124.5870704174287,678.1177890333332,668.4548696104928,683.8488943264732,68.144,53.65363094026019,1.057567491936096,68.184,69.181,67.067,25.899299692034276
full body:undistorted_GX010080_157_2283.jpg_gamma,Prawn_3,circle_female,108.72966666666667,1.0956871512130315,127.3649364046984,741.0042223,687.1450601272937,724.6769122427523,68.144,53.950881578891554,1.057567491936096,68.184,69.181,67.067,18.921269926339917
full body:undistorted_GX010080_193_2640.jpg_gamma,Prawn_0,circle_female,120.77733333333333,3.4904272422345892,140.4721189676514,738.9126580000001,753.1987144986689,730.6055934706905,61.21633333333333,53.61908968370579,1.9533244311515021,61.814,62.801,59.034,5.749645621331146
full body:undistorted_GX010080_193_2640.jpg_gamma,Prawn_1,circle_female,115.48133333333334,3.6858738900474215,124.5776632907126,706.5147151666666,672.7854975885923,664.2490935564007,61.21633333333333,54.00530719689211,1.9533244311515021,61.814,62.801,59.034,11.725385899732892
full body:undistorted_GX010080_193_2640.jpg_gamma,Prawn_2,circle_female,114.69966666666666,4.972907231522958,124.1185335344902,701.5385049999999,671.6648637382038,714.4964727270877,61.21633333333333,54.11479209521605,1.9533244311515021,61.814,62.801,59.034,11.456741088835429
full body:undistorted_GX010080_193_2640.jpg_gamma,Prawn_3,circle_female,107.973,5.794402212480592,127.7329403277941,660.2166348666666,682.0591551184478,676.4820387602473,61.21633333333333,53.39727977513996,1.9533244311515021,61.814,62.801,59.034,13.89994144700228
full body:undistorted_GX010080_193_2640.jpg_gamma,Prawn_4,circle_female,113.177,5.315282400776088,132.9033880770651,692.1440061333333,719.5649366874694,722.8290000166915,61.21633333333333,54.141955829615405,1.9533244311515021,61.814,62.801,59.034,11.107012329405663
full body:undistorted_GX010080_212_2954.jpg_gamma,Prawn_0,circle_female,124.24166666666667,2.742113114613136,144.8775231496437,716.4481146000002,778.2062725896894,736.207516186007,57.671,53.71476925277648,1.0419611317126947,56.502,58.009,58.502,16.719045897138827
full body:undistorted_GX010080_212_2954.jpg_gamma,Prawn_1,circle_female,128.16033333333334,3.4247607702339318,140.9282298037327,738.9565329000001,759.0772313659344,740.2454214510549,57.671,53.86268119759133,1.0419611317126947,56.502,58.009,58.502,14.881492370640798
full body:undistorted_GX010080_212_2954.jpg_gamma,Prawn_2,circle_female,142.70433333333335,8.736487700061938,140.9282298037327,823.0105029,759.0772313659344,343.7458231585809,57.671,53.86268119759133,1.0419611317126947,56.502,58.009,58.502,53.499572658705695
full body:undistorted_GX010080_237_3366.jpg_gamma,Prawn_0,circle_female,129.93933333333334,3.3646753681942756,152.7145736615965,754.2634834666668,822.0823402968391,757.9101178773773,58.073,53.831295899663715,1.6974675254625646,60.033,57.079,57.107,10.398345619630675
full body:undistorted_GX010080_237_3366.jpg_gamma,Prawn_1,circle_female,132.354,6.565952406163166,152.5164527792293,767.8768059999999,816.3202737742993,828.0045532795153,58.073,53.523423794542325,1.6974675254625646,60.033,57.079,57.107,16.33789435252166
full body:undistorted_GX010080_237_3366.jpg_gamma,Prawn_2,circle_female,95.67199999999998,5.1458271443957395,112.14672367864,555.0165787333334,601.3336337009526,548.7467002603748,58.073,53.62025870894751,1.6974675254625646,60.033,57.079,57.107,14.30290868074888
full body:undistorted_GX010080_237_3366.jpg_gamma,Prawn_3,circle_female,120.09466666666667,8.051589987905084,124.1335424223215,696.5389660000001,664.1016851751501,667.5402517683036,58.073,53.49897152824121,1.6974675254625646,60.033,57.079,57.107,27.94895673772648
full body:undistorted_GX010080_237_3366.jpg_gamma,Prawn_4,circle_female,148.17133333333334,7.179603703083706,156.7156125771451,859.6695664666667,834.0379453920626,840.6406663107607,58.073,53.219837620294385,1.6974675254625646,60.033,57.079,57.107,17.6841711953292
full body:undistorted_GX010080_238_3392.jpg_gamma,Prawn_0,circle_female,121.37733333333334,8.202569373881179,140.9654013915187,706.9361952999999,759.011275129876,731.078253091104,58.38133333333334,53.843799090940806,3.2358619150596235,57.035,62.073,56.036,15.6868624795326
full body:undistorted_GX010080_238_3392.jpg_gamma,Prawn_1,circle_female,128.20933333333332,3.136565212670277,139.8766897076493,747.8330798000001,745.7414629800821,805.6144603504836,58.38133333333334,53.31420585794007,3.2358619150596235,57.035,62.073,56.036,22.95901939791381
full body:undistorted_GX010080_238_3392.jpg_gamma,Prawn_2,circle_female,101.84633333333333,5.048907340537486,110.9150893382841,593.9269340666667,597.9272133442029,591.1896776259968,58.38133333333334,53.90855445471104,3.2358619150596235,57.035,62.073,56.036,26.83405616853861
full body:undistorted_GX010080_238_3392.jpg_gamma,Prawn_3,circle_female,126.37966666666667,8.766752667512263,137.8028076480297,735.9398903,736.9374343239008,738.0346479504742,58.38133333333334,53.47767922161327,3.2358619150596235,57.035,62.073,56.036,12.19227687245862
full body:undistorted_GX010082_8_59.jpg_gamma,Prawn_1,circle_female,135.76733333333334,8.735925842939226,143.7517333071236,789.9399030000001,768.4743900978524,759.272173952114,58.361,53.458443416192935,4.183322722430101,62.514,54.148,58.421,8.444498776912624
full body:undistorted_GX010082_8_59.jpg_gamma,Prawn_2,circle_female,123.45166666666667,9.872082725207152,119.9973605908696,717.7231601,647.6056624481084,683.4113444517365,58.361,53.96832557476966,4.183322722430101,62.514,54.148,58.421,6.557709505335553
