Label,PrawnID,Pond_Type,mean_length,std_length,Length_fov(mm),mean_pixels,pred_Distance_pixels,Length_ground_truth_annotation_pixels,mean_scale,pred_scale
carapace:undistorted_GX010080_193_2640.jpg_gamma,Prawn_1,circle_female,41.434333333333335,2.8213437105984354,33.72908093913094,238.71721046666667,181.8852557637331,203.0394050424696,57.81966666666667,53.925351862380026
carapace:undistorted_GX010080_193_2640.jpg_gamma,Prawn_4,circle_female,35.702333333333335,7.1587430693756104,28.95189174925827,205.03871850000004,152.5273700705603,143.1782106327635,57.81966666666667,52.68304102251555
carapace:undistorted_GX010080_212_2954.jpg_gamma,Prawn_0,circle_female,28.686000000000003,1.7740270572908412,31.78460808312776,168.91593826666667,169.4647893893141,172.4093964956667,59.004,53.31662071972225
carapace:undistorted_GX010080_212_2954.jpg_gamma,Prawn_1,circle_female,31.810999999999996,2.0554045830444196,32.49656977443392,187.70443213333337,174.4144796393696,215.0581316760656,59.004,53.67165853196819
carapace:undistorted_GX010080_212_2954.jpg_gamma,Prawn_2,circle_female,33.73266666666667,3.7911056874391322,32.49656977443392,198.3014770666667,174.4144796393696,161.245154965971,59.004,53.67165853196819
carapace:undistorted_GX010080_237_3366.jpg_gamma,Prawn_0,circle_female,36.14033333333333,0.5746079823090992,37.6717765619875,194.1503308,201.5488493625875,179.2344832893492,53.718999999999994,53.50128604392904
carapace:undistorted_GX010080_237_3366.jpg_gamma,Prawn_1,circle_female,36.446666666666665,1.3575567514226903,34.98358239316487,195.8297672,184.968003341247,174.14074767268,53.718999999999994,52.87280223691049
carapace:undistorted_GX010080_237_3366.jpg_gamma,Prawn_2,circle_female,31.065,3.055670630156334,28.17515757805285,166.71931443333335,149.8850962848238,128.062484748657,53.718999999999994,53.19760710107878
carapace:undistorted_GX010080_237_3366.jpg_gamma,Prawn_3,circle_female,36.763333333333335,3.807748591140614,32.99200119145986,197.2251066,174.6391115034891,158.9024858207069,53.718999999999994,52.93377339859434
carapace:undistorted_GX010080_238_3392.jpg_gamma,Prawn_0,circle_female,36.775333333333336,1.5615253226679786,31.68313772442753,206.13778720000002,169.5347620727614,145.7737973711324,56.05566666666667,53.50946094649299
carapace:undistorted_GX010080_238_3392.jpg_gamma,Prawn_1,circle_female,36.04233333333333,2.9496413906326513,30.36537650769275,201.71644873333335,159.4525493423337,147.6482306023337,56.05566666666667,52.51130322785165
carapace:undistorted_GX010080_238_3392.jpg_gamma,Prawn_3,circle_female,36.336,2.190493323431963,28.29610929956323,203.8718875333333,152.0513800066485,165.5294535724689,56.05566666666667,53.73579045688642
carapace:undistorted_GX010080_238_3392.jpg_gamma,Prawn_4,circle_female,33.14033333333333,3.1168920952341845,36.29383214420561,185.3691447,191.8338699252575,177.5528090456473,56.05566666666667,52.855777026533744
carapace:undistorted_GX010082_8_59.jpg_gamma,Prawn_1,circle_female,34.424,2.2569920247976074,33.6723705987246,189.1141200666667,177.7035760106895,159.5305613354382,55.07666666666666,52.77429918088997
carapace:undistorted_GX010082_8_59.jpg_gamma,Prawn_2,circle_female,37.46033333333333,1.6320295136220193,32.11376421183746,205.83002233333332,172.9794953499868,147.7328670269418,55.07666666666666,53.86459656642331
carapace:undistorted_GX010082_8_59.jpg_gamma,Prawn_3,circle_female,36.906,2.140470041836606,37.51925495877773,202.57788879999998,202.2223143395863,185.0,55.07666666666666,53.898275581902475
carapace:undistorted_GX010082_8_59.jpg_gamma,Prawn_4,circle_female,26.740333333333336,1.9554043912534655,28.59184852876473,146.741,149.3119144326218,145.7737973711327,55.07666666666666,52.221847175220965
carapace:undistorted_GX010082_53_796.jpg_gamma,Prawn_0,circle_female,37.626666666666665,0.6360002620544526,37.83065933444135,206.93678779999996,197.4351423060908,166.8831926827864,55.00300000000001,52.189188816580895
carapace:undistorted_GX010082_53_796.jpg_gamma,Prawn_1,circle_female,21.106666666666666,4.155303157813317,21.15671197279154,116.23493816666667,112.6582678481341,138.9244398944979,55.00300000000001,53.249421740494256
carapace:undistorted_GX010082_65_1070.jpg_gamma,Prawn_0,circle_female,27.028000000000002,1.4617793951208908,28.89332411096001,152.1557869333333,152.3558329021077,110.1135777277262,56.394,52.730461997730146
carapace:undistorted_GX010082_65_1070.jpg_gamma,Prawn_1,circle_female,44.07533333333333,4.054361273164161,39.07726688167158,247.61318893333336,203.6961541463755,200.2498439450079,56.394,52.1265099637547
carapace:undistorted_GX010082_65_1070.jpg_gamma,Prawn_2,circle_female,35.542,1.6661296468162379,33.88843640719921,200.1514150666667,176.6023851357366,160.3121954188135,56.394,52.11287502725249
carapace:undistorted_GX010082_236_3137.jpg_gamma,Prawn_0,circle_female,20.591333333333335,1.8188986594456922,23.72612492478941,121.45992183333333,123.786434922051,90.0,58.75899999999999,52.1730519899257
carapace:undistorted_GX010082_236_3137.jpg_gamma,Prawn_1,circle_female,32.413000000000004,2.137426489964041,34.22749565071942,189.7531983,185.247077588875,196.5960325133752,58.75899999999999,54.122299650334284
carapace:undistorted_GX010082_236_3137.jpg_gamma,Prawn_2,circle_female,38.315666666666665,4.3451322572889906,37.88315322674648,223.49679153333332,200.979348085614,169.7056274847717,58.75899999999999,53.05243385698881
carapace:undistorted_GX010082_236_3137.jpg_gamma,Prawn_3,circle_female,20.542666666666666,3.9434333179772842,23.72612492478941,119.20036126666666,123.786434922051,90.0,58.75899999999999,52.1730519899257
carapace:undistorted_GX010084_30_344.jpg_gamma,Prawn_2,circle_female,34.274,4.757663607276159,32.20438528823917,180.8828500333333,170.0058731597053,177.341478509682,53.01733333333333,52.78966564276893
carapace:undistorted_GX010084_30_344.jpg_gamma,Prawn_3,circle_female,36.25266666666666,1.4963924396138,32.30128861778331,191.90679626666667,172.3732437153204,178.0449381476485,53.01733333333333,53.36420034351856
carapace:undistorted_GX010084_30_344.jpg_gamma,Prawn_5,circle_female,33.519666666666666,4.572066527658292,33.88992313051816,176.90918843333336,183.0378350937805,156.2849960808782,53.01733333333333,54.00951615878803
carapace:undistorted_GX010084_130_1748.jpg_gamma,Prawn_0,circle_female,35.57666666666667,0.6097608820950492,31.17453504844051,179.07690216666666,163.4938431878814,156.6045976336582,50.36566666666667,52.444677341245566
