image_name,prawn_id,meas_1,meas_2,meas_3,avg,std,dev_pct,flag,base_image_name,camera_frame,scale_factor,scaled_meas_1,scaled_meas_2,scaled_meas_3,scaled_avg,measurement_type
undistorted_GX010088_262_3712.jpg_gamma_obj4_cropped0.589329_0.508396,1.jpg,202.5438,199.7448,198.4364,201.1443,1.3,OK,,undistorted_GX010088_262_3712.jpg_gamma,GX010088_262_3712,0.1953468383114219,39.56629094958098,39.01951514914731,38.76392334590064,39.29290304936414,carapace
undistorted_GX010091_5_149.jpg_gamma_obj4_cropped0.465435_0.828935,1.jpg,53.3104,52.7731,54.626,53.0418,3.0,OK,,undistorted_GX010091_5_149.jpg_gamma,GX010091_5_149,0.19228920296125374,10.251014325545622,10.14769733679454,10.503990000961446,10.199365445630228,carapace
undistorted_GX010097_105_1651.jpg_gamma_obj4_cropped0.361085_0.112188,1.jpg,198.0732,195.9719,198.3129,197.0226,0.7,OK,,undistorted_GX010097_105_1651.jpg_gamma,GX010097_105_1651,0.1779517750689563,35.247477533588395,34.873547468636,35.29013257407242,35.06052139870095,carapace
undistorted_GX010097_60_1080.jpg_gamma_obj4_cropped0.8483120000000001_0.705155,1.jpg,164.4384,161.2762,158.4487,162.8573,2.7,OK,,undistorted_GX010097_60_1080.jpg_gamma,GX010097_60_1080,0.1960054097493091,32.230815970520794,31.611007663811524,31.056802367745355,31.92091181716616,carapace
undistorted_GX010067_33_625.jpg_gamma_obj0_cropped0.600462_0.2647,1.jpg,232.7252,226.1415,224.2878,229.4334,2.2,OK,,undistorted_GX010067_33_625.jpg_gamma,GX010067_33_625,0.18432500184325,42.89707291897073,41.683532404335324,41.34184914841849,42.29031187790312,carapace
undistorted_GX010067_33_625.jpg_gamma_obj0_cropped0.600462_0.2647,1.jpg,232.7252,226.1415,224.2878,229.4334,2.2,OK,,undistorted_GX010067_33_625.jpg_gamma,GX010067_33_625,0.1886045151920937,43.89302351898304,42.65130797231286,42.30169178250127,43.27217517587371,carapace
undistorted_GX010067_33_625.jpg_gamma_obj0_cropped0.600462_0.2647,1.jpg,237.1181,240.4828,232.7681,238.8005,2.5,OK,,undistorted_GX010067_33_625.jpg_gamma,GX010067_33_625,0.18432500184325,43.70679421956794,44.326992553269925,42.904980461549805,44.01690260266903,carapace
undistorted_GX010067_33_625.jpg_gamma_obj0_cropped0.600462_0.2647,1.jpg,237.1181,240.4828,232.7681,238.8005,2.5,OK,,undistorted_GX010067_33_625.jpg_gamma,GX010067_33_625,0.1886045151920937,44.72154429377039,45.35614190603723,43.90111465268479,45.038852530129574,carapace
undistorted_GX010068_26_666.jpg_gamma_obj0_cropped0.307077_0.799261,1.jpg,242.8868,241.9938,241.6713,242.4403,0.3,OK,,undistorted_GX010068_26_666.jpg_gamma,GX010068_26_666,0.19067594622938314,46.312670416626936,46.14239679664409,46.08090380398512,46.22753360663552,carapace
undistorted_GX010068_27_795.jpg_gamma_obj0_cropped0.397364_0.694163,1.jpg,200.8009,196.4128,204.4162,198.6069,2.9,OK,,undistorted_GX010068_27_795.jpg_gamma,GX010068_27_795,0.19351342983203035,38.85767087235855,38.00851459091261,39.55727997523028,38.43310240730707,carapace
undistorted_GX010069_19_191.jpg_gamma_obj0_cropped0.637446_0.168811,1.jpg,212.9272,212.4241,208.9689,212.6757,1.7,OK,,undistorted_GX010069_19_191.jpg_gamma,GX010069_19_191,0.17935932847867417,38.19047960684435,38.10024392868673,37.48052157692721,38.145370735731966,carapace
undistorted_GX010069_53_796.jpg_gamma_obj0_cropped0.82672_0.699938,1.jpg,227.4775,226.241,227.4379,226.8592,0.3,OK,,undistorted_GX010069_53_796.jpg_gamma,GX010069_53_796,0.17646955017911659,40.142852100869995,39.92464750207352,40.1358639066829,40.03374097799424,carapace
undistorted_GX010071_22_444.jpg_gamma_obj0_cropped0.348194_0.224912,1.jpg,274.4012,272.8388,274.2007,273.62,0.2,OK,,undistorted_GX010071_22_444.jpg_gamma,GX010071_22_444,0.19702492365284208,54.06387548024825,53.75604373953305,54.02437198305585,53.90995960989065,carapace
undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357,1.jpg,272.2444,275.1091,275.8043,273.6767,0.8,OK,,undistorted_GX010073_42_695.jpg_gamma,GX010073_42_695,0.1969201685636643,53.61041313851364,54.174530345397976,54.31142924658344,53.89246189594738,carapace
undistorted_GX010073_55_1014.jpg_gamma_obj0_cropped0.305851_0.646811,1.jpg,203.8431,200.6614,205.1853,202.2522,1.5,OK,,undistorted_GX010073_55_1014.jpg_gamma,GX010073_55_1014,0.17378308395460787,35.424482560867524,34.87155692264915,35.657734216151404,35.14801105260414,carapace
undistorted_GX010077_14_237.jpg_gamma_obj0_cropped0.444795_0.521214,1.jpg,212.8779,216.0208,209.0598,214.4494,2.5,OK,,undistorted_GX010077_14_237.jpg_gamma,GX010077_14_237,0.17037516611578696,36.26910757487989,36.804579684465196,35.6185981531332,36.536852148430846,carapace
undistorted_GX010080_157_2283.jpg_gamma_obj0_cropped0.484674_0.458543,1.jpg,174.1551,178.6449,175.6417,176.4,0.4,OK,,undistorted_GX010080_157_2283.jpg_gamma,GX010080_157_2283,0.17417961401797533,30.334268097261894,31.116299728279802,30.593203511461013,30.72528391277085,carapace
undistorted_GX010080_157_2283.jpg_gamma_obj5_cropped0.558066_0.0813684,1.jpg,241.2986,237.7162,239.3846,239.5074,0.1,OK,,undistorted_GX010080_157_2283.jpg_gamma,GX010080_157_2283,0.17417961401797533,42.02929701107782,41.405315961819824,41.69591722984742,41.71730648644882,carapace
undistorted_GX010080_193_2640.jpg_gamma_obj0_cropped0.302666_0.21123500000000003,1.jpg,229.0786,222.396,221.5784,225.7373,1.8,OK,,undistorted_GX010080_193_2640.jpg_gamma,GX010080_193_2640,0.18928280744259998,43.36064053302038,42.09573924400446,41.94098162063939,42.728189888512425,carapace
undistorted_GX010080_193_2640.jpg_gamma_obj5_cropped0.511306_0.663759,1.jpg,207.5114,207.3475,208.7774,207.4295,0.6,OK,,undistorted_GX010080_193_2640.jpg_gamma,GX010080_193_2640,0.18928280744259998,39.278340368344345,39.2473169162045,39.51797240256667,39.26283810641479,carapace
