image_name,lobster_size,total_length,carapace_length,eye_x,eye_y,pixels_total_length,pixels_carapace_length
colored_undistorted_GX010191_9_346,small,140.2,32.4,3056.8,1937.4,739.0,170.9
colored_undistorted_GX010192_11_745,small,121.2,27.5,1564.6,803.7,1146.8,259.8
colored_undistorted_GX010192_16_1005,small,139.2,35.3,2155.6,853.4,1315.1,333.7
colored_undistorted_GX010192_17_1035,big,176.1,41.7,3435.8,1144.8,1713.9,405.6
colored_undistorted_GX010192_19_1095,big,176.8,45.6,3017.0,1498.8,1707.1,440.6
colored_undistorted_GX010192_20_1170,small,143.6,35.4,2192.5,1859.0,1351.2,332.8
colored_undistorted_GX010192_25_1553,small,125.8,31.6,4130.4,614.5,1196.9,300.8
colored_undistorted_GX010192_26_1578,small,172.9,40.3,3796.9,975.9,1639.2,382.2
colored_undistorted_GX010192_27_1605,big,186.4,46.2,3609.3,1412.2,1805.6,446.7
colored_undistorted_GX010192_29_1662,big,159.6,41.3,3397.4,1607.6,1544.2,399.8
colored_undistorted_GX010192_29_1662,small,164.1,42.5,3397.4,1607.6,1544.2,399.8
colored_undistorted_GX010192_3_263,small,124.2,29.8,982.4,1606.0,1174.6,281.8
colored_undistorted_GX010192_8_593,small,125.9,28.0,3486.4,925.8,1192.5,265.5
colored_undistorted_GX010192_9_675,small,132.2,33.7,2784.9,1680.7,1239.9,315.8
colored_undistorted_GX010193_10_1039,big,180.3,42.5,2476.4,1492.1,1757.7,414.5
colored_undistorted_GX010193_11_1065,big,179.4,43.1,2701.3,2017.7,1745.4,419.2
colored_undistorted_GX010193_12_1113,big,168.1,43.5,2739.0,1849.2,1623.3,419.5
colored_undistorted_GX010193_12_1113,small,172.8,44.7,2739.0,1849.2,1623.3,419.5
colored_undistorted_GX010193_14_1170,big,157.3,40.5,1899.7,2057.0,1528.6,394.1
colored_undistorted_GX010193_14_1170,small,161.7,41.7,1899.7,2057.0,1528.6,394.1
colored_undistorted_GX010193_16_1232,small,141.9,30.8,3472.3,2208.2,1347.0,292.1
colored_undistorted_GX010193_17_1264,small,141.3,32.2,3019.1,1545.8,1344.4,306.3
colored_undistorted_GX010193_18_1289,small,138.4,31.1,2374.5,1212.8,1312.1,295.3
colored_undistorted_GX010193_19_1334,small,127.4,31.9,1544.6,1118.5,1199.6,300.5
colored_undistorted_GX010193_25_1510,big,177.5,44.2,3249.4,1323.6,1717.8,427.9
colored_undistorted_GX010193_26_1530,big,167.7,41.5,2546.1,939.7,1633.2,404.0
colored_undistorted_GX010193_26_1530,small,133.2,33.0,4207.4,1683.0,1249.2,309.4
colored_undistorted_GX010193_27_1553,small,129.1,31.3,3619.4,1004.6,1217.1,295.1
colored_undistorted_GX010193_28_1584,small,136.2,30.1,2874.9,752.5,1292.7,285.8
colored_undistorted_GX010193_3_251,big,156.7,39.4,3276.2,590.6,1517.9,381.9
colored_undistorted_GX010193_3_251,small,161.1,40.5,3276.2,590.6,1517.9,381.9
colored_undistorted_GX010193_4_283,big,163.1,37.9,3400.4,1330.0,1585.6,368.3
colored_undistorted_GX010193_4_283,small,167.7,38.9,3400.4,1330.0,1585.6,368.3
colored_undistorted_GX010193_5_305,big,187.8,44.8,3617.5,1885.5,1821.8,434.4
colored_undistorted_GX010193_5_305,small,130.4,34.7,2077.0,1041.5,1221.0,325.1
colored_undistorted_GX010193_7_360,small,122.0,30.6,2435.9,2306.5,1141.9,285.9
colored_undistorted_GX010194_15_231,big,165.3,42.2,3810.8,1554.7,1598.1,407.6
colored_undistorted_GX010194_15_231,small,169.9,43.4,3810.8,1554.7,1598.1,407.6
colored_undistorted_GX010194_16_240,big,163.2,40.0,3618.7,1500.7,1583.8,387.6
colored_undistorted_GX010194_16_240,small,167.8,41.1,3618.7,1500.7,1583.8,387.6
colored_undistorted_GX010194_17_257,big,174.6,41.5,3437.9,1756.8,1698.9,404.1
colored_undistorted_GX010194_17_257,small,129.0,30.6,1749.1,879.8,1220.8,289.7
colored_undistorted_GX010194_18_272,big,177.3,41.6,3545.6,2066.1,1725.5,404.6
colored_undistorted_GX010194_18_272,small,127.8,28.9,1833.6,1251.4,1208.1,272.7
colored_undistorted_GX010194_19_285,small,126.3,28.8,1929.2,1517.4,1194.4,272.2
colored_undistorted_GX010194_20_299,small,127.0,30.4,2008.1,1828.9,1203.2,288.2
colored_undistorted_GX010194_21_312,small,129.2,32.0,2052.9,2008.8,1226.4,303.6
colored_undistorted_GX010194_22_323,small,115.3,32.1,2036.7,2197.4,1095.5,305.3
colored_undistorted_GX010194_23_337,small,111.0,28.3,1977.2,2217.6,1055.1,269.3
colored_undistorted_GX010194_24_352,small,128.4,32.1,1888.8,2161.2,1217.3,304.7
colored_undistorted_GX010194_25_363,small,131.2,33.3,1758.3,2022.6,1239.9,315.1
colored_undistorted_GX010194_26_373,small,119.9,30.2,1586.1,1827.8,1126.2,283.6
colored_undistorted_GX010194_29_400,small,121.5,31.4,1736.6,1012.9,1138.7,293.9
colored_undistorted_GX010194_2_285,small,126.3,28.8,1929.2,1517.4,1194.4,272.2
colored_undistorted_GX010194_30_407,small,128.3,31.8,1903.0,762.3,1206.2,298.8
