,image_path,index,pond,smaller,true_length,center,Hull_Length_pixels,Diameter_pixels,Skeleton_Length_pixels,Box_Length_pixels,Focal_Box,Focal_Hull,Focal_MEC,Focal_Skeleton,Hull_Length_fov,Diameter_fov,Skeleton_Length_fov,Box_Length_fov,MAE_Hull_fov,MAE_Skeleton_fov,MAE_Box_fov,MAE_MEC_fov,Error_percentage_Hull_fov,Error_percentage_Skeleton_fov,Error_percentage_Box_fov,Error_percentage_MEC_fov,Error_percentage_Hull_focal,Error_percentage_Skeleton_focal,Error_percentage_Box_focal,Error_percentage_MEC_focal
188,undistorted_GX010191_9_346.jpg,2,right,no,180.0,"[521.9277108433735, 250.96385542168673]",1035.3396179100298,1034.794921875,976.0178891803164,1029.333862262386,204.44417557933573,205.63702641921267,205.5288400125416,193.85466661475527,195.91899096677523,195.81591725480615,184.69344426298807,194.7825121088961,15.918990966775226,4.693444262988066,14.7825121088961,15.815917254806152,8.843883870430682,2.60746903499337,8.212506727164499,8.786620697114529,14.242792455118153,7.697037008197374,13.580097544075409,14.18268889585644
189,undistorted_GX010192_10_696.jpg,0,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,undistorted_GX010192_10_696.jpg,1,square,no,143.0,"[354.93975903614455, 199.45783132530119]",1578.8553834118334,1578.5062255859375,1488.5026637530752,1580.6870057035328,174.18296053733272,173.98112589694964,173.94265063676852,164.02475620075066,173.33184164418378,173.29350997073044,163.4126283580559,173.53292305312877,30.331841644183783,20.412628358055912,30.53292305312877,30.29350997073044,21.21107807285579,14.274565285353786,21.35169444274739,21.184272706804506,21.665123004859886,14.70262671381165,21.80626611002288,21.638217228509454
191,undistorted_GX010192_11_745.jpg,0,square,no,143.0,"[195.42168674698794, 96.98795180722891]",1533.0754483081002,1533.1239013671875,1444.4146392224084,1501.0843147538385,165.41118451442242,168.93643039379015,168.9417696527633,159.16649987974284,168.30597255873667,168.31129189200377,158.57250267799475,164.79388262731905,25.30597255873667,15.572502677994748,21.79388262731905,25.311291892003766,17.69648430680886,10.88986201258374,15.240477361761574,17.700204120282354,18.13736391174136,11.305244671148843,15.672157003092599,18.141097659275037
192,undistorted_GX010192_11_745.jpg,1,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,undistorted_GX010192_16_1005.jpg,0,square,yes,180.0,"[278.7877682605421, 113.18333637283509]",1603.1036283754618,1615.6279296875,1475.3001931810354,1576.9563151844125,166.9124435973908,169.6799977117316,171.00562843226166,156.15268343990417,169.04676494032842,170.36744850841657,155.56993357056083,166.28953912623197,10.953235059671584,24.430066429439165,13.710460873768028,9.632551491583428,6.085130588706436,13.572259127466202,7.6169227076489046,5.351417495324126,5.733334604593555,13.24850920005324,7.270864668116227,4.9968730931879675
194,undistorted_GX010192_17_1035.jpg,0,square,no,143.0,"[255.61564617846383, 269.9450242375753]",1427.624225641567,1427.0947265625,1298.4394364004816,1427.6000000000001,157.3136196893204,157.31628922095686,157.25794135268129,143.08084035270446,156.72919686385126,156.67106674535665,142.54687360180216,156.7265372947027,13.729196863851257,0.4531263981978384,13.726537294702695,13.671066745356654,9.600836967728151,0.31687160713135554,9.598977129162725,9.560186535214443,10.011391063606197,0.05653171517794133,10.009524258266017,9.97058835851838
195,undistorted_GX010192_25_1553.jpg,0,square,no,143.0,"[295.78639754329816, 112.61754782803087]",1377.9500159529912,1377.94091796875,1227.3339969217834,1378.5497959812697,151.90855864933292,151.84246620938768,151.84146366187235,135.2454144182733,151.27580174102872,151.27480293494403,134.74068887756962,151.341647529044,8.275801741028715,8.259311122430375,8.341647529043996,8.274802934944034,5.787273944775325,5.775742043657605,5.8333199503804165,5.786575478981843,6.183542803767609,5.422787120088602,6.229761293239802,6.1828417215890585
196,undistorted_GX010192_26_1578.jpg,0,square,no,143.0,"[283.9759036144578, 233.97590361445782]",1410.9999109604794,1410.6356201171875,1304.3681727181174,1413.634012041306,155.77464510377848,155.48438174173566,155.44423890678334,143.73415428539627,154.90412592320658,154.8641328982435,143.1977494168739,155.19330604458665,11.904125923206578,0.19774941687390424,12.193306044586649,11.864132898243497,8.324563582661943,0.13828630550622675,8.526787443766887,8.29659643233811,8.73033688233263,0.5133946051722182,8.933318254390548,8.70226496977856
197,undistorted_GX010192_8_593.jpg,0,square,no,143.0,"[408.433734939759, 116.44578313253011]",1537.3160160862942,1536.4588623046875,1456.6913811785942,1521.4604102637707,167.65651747870004,169.40371749572742,169.30926389246673,160.51932890406292,168.77151578095567,168.6774146713169,159.92028304788377,167.03083618073583,25.771515780955667,16.92028304788377,24.030836180735832,25.67741467131691,18.022039007661306,11.83236576775089,16.804780545969113,17.956234035885952,18.464138108900293,12.251278953890152,17.242319915174853,18.398086638088625
198,undistorted_GX010192_9_675.jpg,0,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,undistorted_GX010192_9_675.jpg,1,square,no,143.0,"[337.16390954442767, 213.59847103256774]",1411.5125068770433,1411.5291748046875,1332.6605719387062,1415.9955684958907,156.03487555626617,155.54086697504513,155.54270368843154,146.8518201099172,154.96040035794633,154.96223021685887,146.3037803510307,155.45256533693257,11.960400357946327,3.303780351030696,12.452565336932565,11.96223021685887,8.3639163342282,2.3103359098116756,8.708087648204591,8.365195955845364,8.769837045486108,2.6935804964456036,9.115297591794526,8.77112146044164
200,undistorted_GX010193_10_1039.jpg,0,square,no,180.0,"[294.39759036144574, 176.4457831325301]",1748.327662686061,1749.025634765625,1644.6780384014376,1737.1604560316239,183.86920033551363,185.05118980021936,185.1250664347469,174.08042802279192,184.36059291579622,184.43419384837506,173.43077318208879,183.18301454535379,4.360592915796218,6.569226817911215,3.1830145453537853,4.43419384837506,2.4225516198867876,3.6495704543951195,1.768341414085436,2.463441026875033,2.8062165556774232,3.288651098448933,2.149555741952014,2.8472591304149515
201,undistorted_GX010193_10_1039.jpg,1,square,yes,143.0,"[129.93975903614458, 282.4096385542168]",1290.9901258147495,1291.197021484375,1226.435591460065,1269.9,139.93595239805828,142.2599675504969,142.282766308333,135.14641510815034,141.72906423409793,141.75177790871385,134.64205902529883,139.4137221284274,1.2709357659020668,8.357940974701165,3.586277871572605,1.2482220912861521,0.8887662698615852,5.844713968322493,2.5078866234773463,0.8728825813189875,0.5175052094427303,5.492017406887877,2.142690630728478,0.5015620221447487
202,undistorted_GX010193_10_1039.jpg,3,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,undistorted_GX010193_11_1065.jpg,0,square,no,180.0,"[325.96385542168673, 233.97590361445782]",1807.8763384795943,1807.531494140625,1756.5631813288128,1802.6484127527474,190.8007524509853,191.3541005999552,191.31760065970707,185.92287567237545,190.6399817345829,190.60361800931963,185.229025722959,190.08869863857532,10.639981734582904,5.229025722958994,10.088698638575323,10.603618009319632,5.9111009636571685,2.9050142905327743,5.604832576986291,5.890898894066463,6.307833666641772,3.29048648465303,6.000418028325167,6.287555922059481
204,undistorted_GX010193_11_1065.jpg,1,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,undistorted_GX010193_16_1232.jpg,0,square,no,143.0,"[413.1389719032379, 264.4436535203313]",1477.9827211716788,1478.305908203125,1377.1248345738309,1470.6934860806311,162.06228337689075,162.86551674543875,162.90113016779335,151.75153578794195,162.25771509571257,162.2931956114993,151.1852106649599,161.45747933265082,19.25771509571257,8.185210664959897,18.45747933265082,19.2931956114993,13.466933633365432,5.723923541929998,12.907328204650922,13.491745182866644,13.891969752055072,6.1199550964629,13.330268095727796,13.916874243212135
206,undistorted_GX010193_16_1232.jpg,1,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,undistorted_GX010193_17_1264.jpg,0,square,no,143.0,"[359.81821818524094, 182.6742516942771]",1359.2754374638648,1360.1492919921875,1208.327215616697,1353.8162541497277,149.1830592144372,149.7846310046407,149.88092493776784,133.15097230161146,149.22564621984708,149.32158079138205,132.65406305866804,148.62631944954606,6.2256462198470786,10.345936941331956,5.62631944954606,6.321580791382047,4.353598755137817,7.234920937994375,3.934489125556685,4.4206858680993335,4.744497206042438,6.887431956915062,4.323817632473572,4.811835620816674
208,undistorted_GX010193_17_1264.jpg,1,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,undistorted_GX010193_18_1289.jpg,0,square,no,143.0,"[275.6279708678464, 145.50722420933732]",1398.0511452086262,1398.6866455078125,1321.5518453696775,1392.4471444187748,153.43996953948957,154.05749941409965,154.12752803022366,145.6276999174874,153.48256861126472,153.55233588595036,145.08422848151716,152.86734331090736,10.482568611264725,2.084228481517158,9.867343310907359,10.552335885950356,7.3304675603249825,1.4575024346273833,6.9002400775575925,7.379255864300949,7.73251707279696,1.837552389851332,7.300677999643054,7.781488133023537
210,undistorted_GX010193_18_1289.jpg,1,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,undistorted_GX010193_19_1334.jpg,0,square,no,143.0,"[186.50637707078312, 145.8000311794051]",1413.5608532582755,1414.4400634765625,1373.618655231502,1411.1464629867446,155.500530964014,155.7665834107478,155.86346751127078,151.36517422754568,155.18527443717767,155.28179697364885,150.80029097635145,154.92021487782276,12.185274437177668,7.800290976351448,11.920214877822758,12.281796973648852,8.521170935089279,5.454748934511502,8.335814599876054,8.588669212341854,8.927680706816652,5.849772187094881,8.741630044765028,8.995431826063486
212,undistorted_GX010193_19_1334.jpg,1,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,undistorted_GX010193_19_1334.jpg,2,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,undistorted_GX010193_19_1334.jpg,3,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,undistorted_GX010193_20_1365.jpg,1,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,undistorted_GX010193_20_1365.jpg,2,square,no,143.0,"[89.4578313253012, 183.43373493975903]",1305.2393065313574,1305.156982421875,1255.0577078365761,1307.61225139565,144.09163380299194,143.8301484107777,143.82107674949276,138.30041393860557,143.29338529952273,143.28434749298376,137.78428737339115,143.55389484825614,0.2933852995227255,5.215712626608848,0.5538948482561352,0.2843474929837555,0.20516454512078708,3.647351487139055,0.3873390547245701,0.1988444006879409,0.5805233641802068,3.2864238191569424,0.7633802818125426,0.5741795450998328
217,undistorted_GX010193_20_1365.jpg,3,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,undistorted_GX010193_20_1365.jpg,4,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,undistorted_GX010193_20_1365.jpg,5,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,undistorted_GX010193_20_1365.jpg,6,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,undistorted_GX010193_26_1530.jpg,0,square,no,180.0,"[282.21467902861446, 110.21512318806475]",1840.7670581826037,1841.7252197265625,1786.4291897525636,1828.4317898133363,193.52978586043176,194.8354084487805,194.9368247550683,189.08403391024686,194.10829760882694,194.20933543721773,188.37838676010662,192.80754750410134,14.108297608826945,8.378386760106622,12.807547504101336,14.209335437217732,7.83794311601497,4.654659311170346,7.115304168945187,7.89407524289874,8.241893582655832,5.046685505692699,7.516547700239866,8.298235975037944
