image_name,lobster_size,total_length,carapace_length,eye_x,eye_y,pixels_total_length,pixels_carapace_length,sample_id,filepath,tags,detections.label,labels,diff_big,diff_small,new_class
undistorted_GX010193_26_1530,small,140.3,34.8,4207.4,1683.0,1249.2,309.4,{'$oid': '68736034b54ea3950eac7194'},data/undistorted_GX010193_26_1530.jpg,Square|big mpe5<x<10|small mpe5<x<10|3_low_visibility_keypoints|3_low_visibility_keypoints|good,big_prawn|low_visibility_prawn|small_prawn,big_prawn|eyes|low_visibility_prawn|rostrum|small_prawn|start_carapace|tail,39.69999999999999,4.699999999999989,small
undistorted_GX010193_25_1510,big,182.4,45.5,3249.4,1323.6,1717.8,427.9,{'$oid': '68736034b54ea3950eac718b'},data/undistorted_GX010193_25_1510.jpg,Square|big mpe<5|good,big_prawn|unknown_prawn,big_prawn|eyes|rostrum|start_carapace|tail|unknown_prawn,2.4000000000000057,37.400000000000006,big
undistorted_GX010193_19_1334,small,134.3,33.7,1544.6,1118.5,1199.6,300.5,{'$oid': '68736034b54ea3950eac7186'},data/undistorted_GX010193_19_1334.jpg,Square|shai_measured|shai_measurements_2|small mpe10<x<20|good,1303.202|1664.625|small_prawn,1303.202|1664.625|eyes|rostrum|small_prawn|start_carapace|tail,45.69999999999999,10.699999999999989,small
undistorted_GX010193_18_1289,small,145.8,32.8,2374.5,1212.8,1312.1,295.3,{'$oid': '68736034b54ea3950eac717d'},data/undistorted_GX010193_18_1289.jpg,Square|shai_measured|shai_measurements_1|small mpe<5|good,1352.0|small_prawn,1352.0|eyes|rostrum|small_prawn|start_carapace|tail,34.19999999999999,0.8000000000000114,small
undistorted_GX010193_17_1264,small,149.0,33.9,3019.1,1545.8,1344.4,306.3,{'$oid': '68736034b54ea3950eac7177'},data/undistorted_GX010193_17_1264.jpg,Square|small mpe<5|1_low_visibility_keypoints|good,low_visibility_prawn|small_prawn,eyes|low_visibility_prawn|rostrum|small_prawn|start_carapace|tail,31.0,4.0,small
undistorted_GX010193_16_1232,small,149.6,32.5,3472.3,2208.2,1347.0,292.1,{'$oid': '68736034b54ea3950eac7172'},data/undistorted_GX010193_16_1232.jpg,Square|small mpe<5|1_low_visibility_keypoints|good,low_visibility_prawn|small_prawn,eyes|low_visibility_prawn|rostrum|small_prawn|start_carapace|tail,30.400000000000006,4.599999999999994,small
undistorted_GX010193_12_1113,big,172.8,44.7,2739.0,1849.2,1623.3,419.5,{'$oid': '68736034b54ea3950eac7164'},data/undistorted_GX010193_12_1113.jpg,Square|big mpe5<x<10|good,big_prawn,big_prawn|eyes|rostrum|start_carapace|tail,7.199999999999989,27.80000000000001,big
undistorted_GX010193_11_1065,big,184.3,44.3,2701.3,2017.7,1745.4,419.2,{'$oid': '68736034b54ea3950eac7161'},data/undistorted_GX010193_11_1065.jpg,Square|shai_measured|shai_measurements_1|big mpe<5|good,1740.667|big_prawn,1740.667|big_prawn|eyes|rostrum|start_carapace|tail,4.300000000000011,39.30000000000001,big
undistorted_GX010193_10_1039,big,185.3,43.7,2476.4,1492.1,1757.7,414.5,{'$oid': '68736034b54ea3950eac715b'},data/undistorted_GX010193_10_1039.jpg,Square|big mpe<5|3_low_visibility_keypoints|good,big_prawn|low_visibility_prawn|unknown_prawn,big_prawn|eyes|low_visibility_prawn|rostrum|start_carapace|tail|unknown_prawn,5.300000000000011,40.30000000000001,big
undistorted_GX010192_9_675,small,139.4,35.5,2784.9,1680.7,1239.9,315.8,{'$oid': '68736034b54ea3950eac7154'},data/undistorted_GX010192_9_675.jpg,Square|small mpe5<x<10|good,small_prawn,eyes|rostrum|small_prawn|start_carapace|tail,40.599999999999994,5.599999999999994,small
undistorted_GX010192_8_593,small,132.7,29.5,3486.4,925.8,1192.5,265.5,{'$oid': '68736034b54ea3950eac7151'},data/undistorted_GX010192_8_593.jpg,Square|small mpe10<x<20|good,small_prawn,eyes|rostrum|small_prawn|start_carapace|tail,47.30000000000001,12.300000000000011,small
undistorted_GX010192_3_263,small,130.9,31.4,982.4,1606.0,1174.6,281.8,{'$oid': '68736034b54ea3950eac714e'},data/undistorted_GX010192_3_263.jpg,Square|small mpe10<x<20|good,small_prawn,eyes|rostrum|small_prawn|start_carapace|tail,49.099999999999994,14.099999999999994,small
undistorted_GX010192_27_1605,big,191.6,47.4,3609.3,1412.2,1805.6,446.7,{'$oid': '68736034b54ea3950eac7146'},data/undistorted_GX010192_27_1605.jpg,Square|big mpe<5|1_low_visibility_keypoints|good,big_prawn|low_visibility_prawn,big_prawn|eyes|low_visibility_prawn|rostrum|start_carapace|tail,11.599999999999994,46.599999999999994,big
undistorted_GX010192_19_1095,big,181.7,46.9,3017.0,1498.8,1707.1,440.6,{'$oid': '68736034b54ea3950eac712e'},data/undistorted_GX010192_19_1095.jpg,Square|big mpe<5|good,big_prawn|unknown_prawn,big_prawn|eyes|rostrum|start_carapace|tail|unknown_prawn,1.6999999999999886,36.69999999999999,big
undistorted_GX010192_17_1035,big,181.0,42.8,3435.8,1144.8,1713.9,405.6,{'$oid': '68736034b54ea3950eac7129'},data/undistorted_GX010192_17_1035.jpg,Square|big mpe<5|good,big_prawn|unknown_prawn,big_prawn|eyes|rostrum|start_carapace|tail|unknown_prawn,1.0,36.0,big
undistorted_GX010192_16_1005,small,146.7,37.2,2155.6,853.4,1315.1,333.7,{'$oid': '68736034b54ea3950eac7122'},data/undistorted_GX010192_16_1005.jpg,Square|small mpe<5|good,small_prawn,eyes|rostrum|small_prawn|start_carapace|tail,33.30000000000001,1.6999999999999886,small
undistorted_GX010192_11_745,small,127.8,28.9,1564.6,803.7,1146.8,259.8,{'$oid': '68736034b54ea3950eac711f'},data/undistorted_GX010192_11_745.jpg,Square|small mpe10<x<20|good,small_prawn,eyes|rostrum|small_prawn|start_carapace|tail,52.2,17.200000000000003,small
undistorted_GX010191_99_1233,small,151.6,35.1,3004.2,1128.7,780.4,180.4,{'$oid': '68736034b54ea3950eac7117'},data/undistorted_GX010191_99_1233.jpg,Circle|big mpe<5|small mpe<5|good,big_prawn|small_prawn,big_prawn|eyes|rostrum|small_prawn|start_carapace|tail,28.400000000000006,6.599999999999994,small
undistorted_GX010191_99_1233,big,178.3,41.2,4383.7,934.5,942.1,217.9,{'$oid': '68736034b54ea3950eac7117'},data/undistorted_GX010191_99_1233.jpg,Circle|big mpe<5|small mpe<5|good,big_prawn|small_prawn,big_prawn|eyes|rostrum|small_prawn|start_carapace|tail,1.6999999999999886,33.30000000000001,big
undistorted_GX010191_97_1190,small,156.1,33.7,4491.8,1422.0,806.3,174.0,{'$oid': '68736034b54ea3950eac710d'},data/undistorted_GX010191_97_1190.jpg,Circle|small mpe<5|good,small_prawn|unknown_prawn,eyes|rostrum|small_prawn|start_carapace|tail|unknown_prawn,23.900000000000006,11.099999999999994,small
undistorted_GX010191_95_1157,small,136.9,32.1,3318.0,641.0,696.9,163.2,{'$oid': '68736034b54ea3950eac7108'},data/undistorted_GX010191_95_1157.jpg,Circle|small mpe5<x<10|big mpe<5|good,big_prawn|small_prawn,big_prawn|eyes|rostrum|small_prawn|start_carapace|tail,43.099999999999994,8.099999999999994,small
undistorted_GX010191_95_1157,big,186.0,44.3,4046.8,1824.9,991.5,235.8,{'$oid': '68736034b54ea3950eac7108'},data/undistorted_GX010191_95_1157.jpg,Circle|small mpe5<x<10|big mpe<5|good,big_prawn|small_prawn,big_prawn|eyes|rostrum|small_prawn|start_carapace|tail,6.0,41.0,big
undistorted_GX010191_93_1112,big,175.5,40.5,3553.7,1647.7,929.6,214.3,{'$oid': '68736034b54ea3950eac70f8'},data/undistorted_GX010191_93_1112.jpg,Circle|big mpe<5|small mpe<5|3_low_visibility_keypoints|3_low_visibility_keypoints|good,big_prawn|low_visibility_prawn|small_prawn,big_prawn|eyes|low_visibility_prawn|rostrum|small_prawn|start_carapace|tail,4.5,30.5,big
