image_name,BX,BY,Width,Height,Length,lobster_size,total_length,pixels_total_length,length_diff,is_big,is_small,real_length,real_length_abs_diff,real_length_rel_diff,pixel_abs_diff,pixel_rel_diff
undistorted_GX010191_42_1339,2600,1208,345,881,944.847,big,166.6,886.4,58.447,True,False,180,13.400000000000006,7.444444444444448,58.447,6.185869246555263
undistorted_GX010191_36_1195,4312,720,437,881,982.088,big,172.9,920.0,62.087999999999965,True,False,180,7.099999999999994,3.9444444444444415,62.087999999999965,6.322040387419454
undistorted_GX010191_43_1353,2724,1548,693,625,931.794,big,164.2,867.4,64.394,True,False,180,15.800000000000011,8.777777777777784,64.394,6.91075495227486
undistorted_GX010191_10_370,3092,1716,245,653,696.161,small,149.0,762.6,66.43900000000008,False,True,145,4.0,2.7586206896551726,66.43900000000008,9.54362568428856
undistorted_GX010191_105_1312,2528,536,393,913,992.677,big,174.2,924.6,68.077,True,False,180,5.800000000000011,3.2222222222222285,68.077,6.857920552203788
undistorted_GX010192_26_1578,2128,1296,361,1277,1325.811,small,139.5,1257.0,68.81099999999992,False,True,145,5.5,3.793103448275862,68.81099999999992,5.190106282117129
undistorted_GX010191_106_1320,3092,2220,733,29,732.535,small,155.0,801.8,69.26499999999999,False,True,145,10.0,6.896551724137931,69.26499999999999,9.455520896612448
undistorted_GX010191_110_1355,2728,1592,729,577,928.31,big,162.4,857.3,71.00999999999999,True,False,180,17.599999999999994,9.777777777777775,71.00999999999999,7.649384365136645
undistorted_GX010191_32_305,3908,1728,173,933,947.738,big,191.5,1020.8,73.0619999999999,True,False,180,11.5,6.388888888888888,73.0619999999999,7.709092597321189
undistorted_GX010191_14_460,3536,2224,793,5,792.01,big,162.5,865.9,73.88999999999999,True,False,180,17.5,9.722222222222223,73.88999999999999,9.32942765874168
undistorted_GX010194_7_885,1836,252,661,1141,1317.27,small,154.7,1391.6,74.32999999999993,False,True,145,9.699999999999989,6.689655172413786,74.32999999999993,5.6427307993046165
undistorted_GX010191_16_495,3032,1736,261,877,913.77,big,157.0,835.8,77.97000000000003,True,False,180,23.0,12.777777777777777,77.97000000000003,8.532781772218396
undistorted_GX010192_26_1578,3392,204,729,1557,1717.882,big,172.9,1639.2,78.68200000000002,True,False,180,7.099999999999994,3.9444444444444415,78.68200000000002,4.580174889777063
undistorted_GX010193_28_1584,2612,108,553,1257,1371.948,small,143.6,1292.7,79.24800000000005,False,True,145,1.4000000000000057,0.9655172413793143,79.24800000000005,5.776312221746017
undistorted_GX010191_15_479,3064,1248,5,933,932.009,big,159.4,850.2,81.80899999999997,True,False,180,20.599999999999994,11.444444444444441,81.80899999999997,8.77770493632572
undistorted_GX010194_19_285,1584,1032,717,1061,1279.162,small,133.1,1194.4,84.76199999999994,False,False,145,11.900000000000006,8.206896551724142,84.76199999999994,6.626369451250111
undistorted_GX010191_117_1408,3760,560,677,709,978.897,big,168.9,893.4,85.49700000000007,False,False,180,11.099999999999994,6.166666666666663,85.49700000000007,8.734013895231067
undistorted_GX010191_47_507,3184,2032,457,745,872.624,small,153.4,786.9,85.72400000000005,False,True,145,8.400000000000006,5.793103448275866,85.72400000000005,9.82370413832304
undistorted_GX010194_26_373,1072,1548,1053,613,1217.065,small,126.4,1126.2,90.86500000000001,False,False,145,18.599999999999994,12.82758620689655,90.86500000000001,7.4659118452999635
undistorted_GX010193_19_1334,1032,752,1045,781,1303.202,small,134.3,1199.6,103.60200000000009,False,True,145,10.699999999999989,7.379310344827579,103.60200000000009,7.949803637502098
undistorted_GX010193_20_1365,124,1364,1177,169,1187.939,small,120.6,1070.7,117.23900000000003,False,False,145,24.400000000000006,16.827586206896555,117.23900000000003,9.869109440804623
