image_name,BX,BY,Width,Height,Length,lobster_size,total_length,pixels_total_length,length_diff,is_big,is_small,real_length,real_length_abs_diff,real_length_rel_diff,pixel_abs_diff,pixel_rel_diff,BX_pred,BY_pred,Width_pred,Height_pred,rostrum_x_pred,rostrum_y_pred,tail_x_pred,tail_y_pred,rostrum_x_norm,rostrum_y_norm,tail_x_norm,tail_y_norm,rostrum_x_norm_ref,rostrum_y_norm_ref,tail_x_norm_ref,tail_y_norm_ref,pixels_total_length_pred,pixels_total_length_err,BX_err,BY_err,Width_err,Height_err
undistorted_GX010191_42_1339,3728,1880,597,417,726.823,small,138.2,708.1,18.722999999999956,False,True,145,6.800000000000011,4.689655172413801,18.722999999999956,2.576005437362323,442.12767999999994,218.62781999999999,81.22944000000001,72.02052,454.01024,280.94184,519.3587200000001,226.09187999999997,0.709391,0.780394,0.811498,0.628033,0.7093910000000001,0.780394,0.811498,0.628033,708.1287389712371,0.028738971237089572,3285.87232,1661.37218,515.7705599999999,344.97947999999997
undistorted_GX010191_35_367,4092,1392,793,481,926.102,big,171.6,905.3,20.80200000000002,True,False,180,8.400000000000006,4.66666666666667,20.80200000000002,2.246188864725486,483.85184000000004,159.43158,110.66560000000001,79.94916,585.5424,228.99563999999998,497.47136,164.64636000000002,0.91491,0.636099,0.777299,0.457351,0.9149100000000001,0.636099,0.7772990000000002,0.45735100000000006,905.3218264955552,0.02182649555527405,3608.1481599999997,1232.56842,682.3344,401.05084
undistorted_GX010191_28_230,2348,240,725,345,801.568,small,152.7,778.6,22.96799999999996,False,True,145,7.699999999999989,5.310344827586199,22.96799999999996,2.8653838476585847,277.60704,13.99266,112.05632,67.06692,370.4,35.19432,281.79200000000003,65.9826,0.57875,0.097762,0.4403,0.183285,0.57875,0.097762,0.4403000000000001,0.18328500000000003,778.5778644826089,0.02213551739112063,2070.39296,226.00734,612.94368,277.93308
undistorted_GX010191_34_350,4072,1652,601,741,952.68,big,175.4,928.9,23.779999999999973,True,False,180,4.599999999999994,2.555555555555552,23.779999999999973,2.4961162195070723,476.28256,190.00008000000003,95.53855999999999,104.38416,561.14368,283.24728,490.20288,196.69284,0.876787,0.786798,0.765942,0.546369,0.8767870000000001,0.786798,0.7659420000000001,0.546369,928.8685781614532,0.031421838546748404,3595.71744,1461.99992,505.46144000000004,636.61584
undistorted_GX010191_88_1016,3104,12,265,1005,1038.129,big,190.4,1014.3,23.82899999999995,False,False,180,10.400000000000006,5.777777777777781,23.82899999999995,2.2953794759610755,360.638464,0.000179999999995184,60.168192,129.63996,381.15264,124.16148,408.33472,5.013432,0.595551,0.344893,0.638023,0.0139262,0.595551,0.34489300000000006,0.6380230000000001,0.013926200000000001,1014.3375230900934,0.037523090093486644,2743.361536,11.999820000000005,204.831808,875.36004
undistorted_GX010191_17_509,4500,2340,473,525,705.238,small,142.3,730.9,25.66199999999992,False,True,145,2.6999999999999886,1.8620689655172336,25.66199999999992,3.6387715920015538,529.57888,269.58816,83.34208000000001,90.41184,541.7312,348.48972,601.63456,283.93631999999997,0.846455,0.968027,0.940054,0.788712,0.846455,0.968027,0.9400540000000001,0.788712,730.94467261868,0.0446726186800106,3970.42112,2070.4118399999998,389.65792,434.58816
undistorted_GX010191_105_1312,2920,2156,685,121,694.447,small,141.4,720.3,25.852999999999952,False,True,145,3.5999999999999943,2.4827586206896513,25.852999999999952,3.722818300028649,343.87776,249.18228000000002,93.28768,42.07752,348.02943999999997,256.16988,432.15616,277.47252000000003,0.543796,0.711583,0.675244,0.770757,0.543796,0.711583,0.6752440000000001,0.7707570000000002,720.2902157549071,0.009784245092873789,2576.12224,1906.81772,591.71232,78.92248000000001
undistorted_GX010191_37_1242,3780,608,869,461,982.356,big,181.3,956.2,26.15599999999995,True,False,180,1.3000000000000114,0.7222222222222285,26.15599999999995,2.662578535683596,447.36288,62.84483999999999,117.91168,77.86224,556.0550400000001,131.56164,462.07552,64.92887999999999,0.868836,0.365449,0.721993,0.180358,0.8688360000000002,0.3654490000000001,0.7219930000000001,0.18035800000000002,956.197280274004,0.00271972599603032,3332.63712,545.15516,751.08832,383.13776
undistorted_GX010191_36_1195,2872,548,589,497,769.259,small,144.8,740.6,28.658999999999992,False,True,145,0.1999999999999886,0.1379310344827508,28.658999999999992,3.7255332729288826,338.37344,55.15091999999999,91.024,80.2764,419.89824,76.0914,343.74784,122.60231999999999,0.656091,0.211365,0.537106,0.340562,0.656091,0.211365,0.5371060000000001,0.340562,740.6162646459412,0.016264645941191702,2533.62656,492.84908,497.976,416.72360000000003
undistorted_GX010191_47_507,3184,2032,457,745,872.624,big,170.3,905.0,32.375999999999976,True,False,180,9.699999999999989,5.388888888888883,32.375999999999976,3.7101890390362833,368.56064,228.0276,85.05216000000001,116.16911999999999,388.24576,241.20575999999997,439.90336,337.22352,0.606634,0.670016,0.687349,0.936732,0.6066340000000001,0.670016,0.6873490000000001,0.9367320000000001,904.9633485855686,0.03665141443138964,2815.43936,1803.9724,371.94784,628.83088
